name,type
git,custom
github,custom
gitlab,custom
vcs,custom
webmaster,tech
info,other
,
dev,tech
admin,tech
maint,tech
,
mr.,prefix
mrs.,prefix
miss,prefix
ms.,prefix
prof.,prefix
pr.,prefix
dr.,prefix
ir.,prefix
rev.,prefix
ing.,prefix
jr.,prefix
d.d.s.,prefix
ph.d.,prefix
capt.,prefix
lt.,prefix
administrator,tech
admin.,tech
support,tech
development,tech
dev.,tech
developer,tech
maint.,tech
maintainer,tech
i18n,other
spam,other
bug,other
bugs,other
root,other
mailing,other
list,other
contact,other
project,other

elasticsearch,project
gdx,project
libgdx,project
spring,project
spring-framework,project
django,project